Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Ocio, recreo y vacaciones;Gasto total;Dato base;2019;80.305,58
Ocio, recreo y vacaciones;Gasto total;Dato base;2018;78.085,87
Ocio, recreo y vacaciones;Gasto total;Dato base;2017;74.869,41
Ocio, recreo y vacaciones;Gasto total;Dato base;2016;65.365,41
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2025;6,30
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2024;15,35
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2023;24,48
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2022;155,11
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2021;79,43
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2020;-79,59
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2019;2,84
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2018;4,30
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2017;14,54
Ocio, recreo y vacaciones;Gasto total;Tasa de variación anual;2016;9,66
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2025;1.371
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2024;1.329
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2023;1.266
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2022;1.208
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2021;1.116
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2020;1.055
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2019;1.100
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2018;1.082
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2017;1.053
Ocio, recreo y vacaciones;Gasto medio por persona;Dato base;2016;1.016
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2025;3,12
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2024;5,00
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2023;4,84
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2022;8,19
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2021;5,78
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2020;-4,09
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2019;1,71
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2018;2,73
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2017;3,62
Ocio, recreo y vacaciones;Gasto medio por persona;Tasa de variación anual;2016;-0,76
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2025;203
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2024;194
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2023;184
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2022;167
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2021;142
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2020;139
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2019;157
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2018;147
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2017;139
Ocio, recreo y vacaciones;Gasto medio diario por persona;Dato base;2016;132
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2025;4,63
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2024;5,64
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2023;10,13
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2022;17,27
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2021;2,09
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2020;-11,33
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2019;6,73
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2018;5,87
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2017;5,07
Ocio, recreo y vacaciones;Gasto medio diario por persona;Tasa de variación anual;2016;4,52
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2025;6,75
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2024;6,84
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2023;6,89
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2022;7,23
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2021;7,84
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2020;7,57
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2019;7,00
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2018;7,34
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2017;7,57
Ocio, recreo y vacaciones;Duración media de los viajes;Dato base;2016;7,67
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2025;-1,44
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2024;-0,61
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2023;-4,81
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2022;-7,74
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2021;3,61
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2020;8,16
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2019;-4,70
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2018;-2,97
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2017;-1,38
Ocio, recreo y vacaciones;Duración media de los viajes;Tasa de variación anual;2016;-5,05
Turismo cultural;Gasto total;Dato base;2025;31.254,69
Turismo cultural;Gasto total;Dato base;2024;26.163,10
Turismo cultural;Gasto total;Dato base;2023;21.902,64
Turismo cultural;Gasto total;Dato base;2022;15.008,99
Turismo cultural;Gasto total;Dato base;2021;5.012,48
Turismo cultural;Gasto total;Dato base;2020;3.328,31
Turismo cultural;Gasto total;Dato base;2019;15.316,49
Turismo cultural;Gasto total;Dato base;2018;13.341,06
Turismo cultural;Gasto total;Dato base;2017;13.923,58
Turismo cultural;Gasto total;Dato base;2016;8.567,13
Turismo cultural;Gasto total;Tasa de variación anual;2025;19,46
Turismo cultural;Gasto total;Tasa de variación anual;2024;19,45
Turismo cultural;Gasto total;Tasa de variación anual;2023;45,93
Turismo cultural;Gasto total;Tasa de variación anual;2022;199,43
Turismo cultural;Gasto total;Tasa de variación anual;2021;50,60
Turismo cultural;Gasto total;Tasa de variación anual;2020;-78,27
Turismo cultural;Gasto total;Tasa de variación anual;2019;14,81
Turismo cultural;Gasto total;Tasa de variación anual;2018;-4,18
Turismo cultural;Gasto total;Tasa de variación anual;2017;62,52
Turismo cultural;Gasto total;Tasa de variación anual;2016;6,50
Turismo cultural;Gasto medio por persona;Dato base;2025;1.387
Turismo cultural;Gasto medio por persona;Dato base;2024;1.366
Turismo cultural;Gasto medio por persona;Dato base;2023;1.309
Turismo cultural;Gasto medio por persona;Dato base;2022;1.251
Turismo cultural;Gasto medio por persona;Dato base;2021;1.120
Turismo cultural;Gasto medio por persona;Dato base;2020;1.014
Turismo cultural;Gasto medio por persona;Dato base;2019;1.061
Turismo cultural;Gasto medio por persona;Dato base;2018;1.059
Turismo cultural;Gasto medio por persona;Dato base;2017;1.084
Turismo cultural;Gasto medio por persona;Dato base;2016;1.069
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2025;1,57
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2024;4,37
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2023;4,58
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2022;11,71
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2021;10,44
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2020;-4,38
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2019;0,12
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2018;-2,28
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2017;1,42
Turismo cultural;Gasto medio por persona;Tasa de variación anual;2016;-5,08
Turismo cultural;Gasto medio diario por persona;Dato base;2025;249
Turismo cultural;Gasto medio diario por persona;Dato base;2024;235
Turismo cultural;Gasto medio diario por persona;Dato base;2023;208
Turismo cultural;Gasto medio diario por persona;Dato base;2022;205
Turismo cultural;Gasto medio diario por persona;Dato base;2021;182
Turismo cultural;Gasto medio diario por persona;Dato base;2020;166
Turismo cultural;Gasto medio diario por persona;Dato base;2019;183
Turismo cultural;Gasto medio diario por persona;Dato base;2018;172
Turismo cultural;Gasto medio diario por persona;Dato base;2017;169
Turismo cultural;Gasto medio diario por persona;Dato base;2016;184
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2025;5,97
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2024;12,80
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2023;1,66
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2022;12,72
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2021;9,13
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2020;-9,26
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2019;6,73
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2018;1,81
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2017;-8,06
Turismo cultural;Gasto medio diario por persona;Tasa de variación anual;2016;-9,25
Turismo cultural;Duración media de los viajes;Dato base;2025;5,57
Turismo cultural;Duración media de los viajes;Dato base;2024;5,82
Turismo cultural;Duración media de los viajes;Dato base;2023;6,29
Turismo cultural;Duración media de los viajes;Dato base;2022;6,11
Turismo cultural;Duración media de los viajes;Dato base;2021;6,17
Turismo cultural;Duración media de los viajes;Dato base;2020;6,09
Turismo cultural;Duración media de los viajes;Dato base;2019;5,78
Turismo cultural;Duración media de los viajes;Dato base;2018;6,16
Turismo cultural;Duración media de los viajes;Dato base;2017;6,42
Turismo cultural;Duración media de los viajes;Dato base;2016;5,82
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2025;-4,16
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2024;-7,47
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2023;2,88
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2022;-0,89
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2021;1,20
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2020;5,38
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2019;-6,19
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2018;-4,02
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2017;10,30
Turismo cultural;Duración media de los viajes;Tasa de variación anual;2016;4,58
Práctica deportiva;Gasto total;Dato base;2025;2.187,90
Práctica deportiva;Gasto total;Dato base;2024;1.771,99
Práctica deportiva;Gasto total;Dato base;2023;1.551,25
Práctica deportiva;Gasto total;Dato base;2022;1.243,97
Práctica deportiva;Gasto total;Dato base;2021;650,70
Práctica deportiva;Gasto total;Dato base;2020;399,18
Práctica deportiva;Gasto total;Dato base;2019;1.428,50
Práctica deportiva;Gasto total;Dato base;2018;1.399,96
Práctica deportiva;Gasto total;Dato base;2017;1.254,95
Práctica deportiva;Gasto total;Dato base;2016;1.393,43
Práctica deportiva;Gasto total;Tasa de variación anual;2025;23,47
Práctica deportiva;Gasto total;Tasa de variación anual;2024;14,23
Práctica deportiva;Gasto total;Tasa de variación anual;2023;24,70
Práctica deportiva;Gasto total;Tasa de variación anual;2022;91,17
Práctica deportiva;Gasto total;Tasa de variación anual;2021;63,01
Práctica deportiva;Gasto total;Tasa de variación anual;2020;-72,06
Práctica deportiva;Gasto total;Tasa de variación anual;2019;2,04
Práctica deportiva;Gasto total;Tasa de variación anual;2018;11,55
Práctica deportiva;Gasto total;Tasa de variación anual;2017;-9,94
Práctica deportiva;Gasto total;Tasa de variación anual;2016;51,55
Práctica deportiva;Gasto medio por persona;Dato base;2025;1.279
Práctica deportiva;Gasto medio por persona;Dato base;2024;1.203
Práctica deportiva;Gasto medio por persona;Dato base;2023;1.206
Práctica deportiva;Gasto medio por persona;Dato base;2022;1.223
Práctica deportiva;Gasto medio por persona;Dato base;2021;1.099
Práctica deportiva;Gasto medio por persona;Dato base;2020;968
Práctica deportiva;Gasto medio por persona;Dato base;2019;947
Práctica deportiva;Gasto medio por persona;Dato base;2018;967
Práctica deportiva;Gasto medio por persona;Dato base;2017;986
Práctica deportiva;Gasto medio por persona;Dato base;2016;977
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2025;6,35
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2024;-0,27
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2023;-1,45
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2022;11,37
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2021;13,44
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2020;2,28
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2019;-2,07
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2018;-1,97
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2017;0,97
Práctica deportiva;Gasto medio por persona;Tasa de variación anual;2016;-1,36
Práctica deportiva;Gasto medio diario por persona;Dato base;2025;205
Práctica deportiva;Gasto medio diario por persona;Dato base;2024;188
Práctica deportiva;Gasto medio diario por persona;Dato base;2023;178
Práctica deportiva;Gasto medio diario por persona;Dato base;2022;176
Práctica deportiva;Gasto medio diario por persona;Dato base;2021;152
Práctica deportiva;Gasto medio diario por persona;Dato base;2020;138
Práctica deportiva;Gasto medio diario por persona;Dato base;2019;156
Práctica deportiva;Gasto medio diario por persona;Dato base;2018;160
Práctica deportiva;Gasto medio diario por persona;Dato base;2017;161
Práctica deportiva;Gasto medio diario por persona;Dato base;2016;153
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2025;8,78
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2024;5,92
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2023;0,89
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2022;16,24
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2021;10,02
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2020;-11,52
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2019;-2,53
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2018;-0,61
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2017;4,77
Práctica deportiva;Gasto medio diario por persona;Tasa de variación anual;2016;12,88
Práctica deportiva;Duración media de los viajes;Dato base;2025;6,25
Práctica deportiva;Duración media de los viajes;Dato base;2024;6,39
Práctica deportiva;Duración media de los viajes;Dato base;2023;6,79
Práctica deportiva;Duración media de los viajes;Dato base;2022;6,95
Práctica deportiva;Duración media de los viajes;Dato base;2021;7,25
Práctica deportiva;Duración media de los viajes;Dato base;2020;7,03
Práctica deportiva;Duración media de los viajes;Dato base;2019;6,08
Práctica deportiva;Duración media de los viajes;Dato base;2018;6,06
Práctica deportiva;Duración media de los viajes;Dato base;2017;6,14
Práctica deportiva;Duración media de los viajes;Dato base;2016;6,37
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2025;-2,23
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2024;-5,84
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2023;-2,32
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2022;-4,19
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2021;3,10
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2020;15,60
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2019;0,47
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2018;-1,36
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2017;-3,63
Práctica deportiva;Duración media de los viajes;Tasa de variación anual;2016;-12,61
Turismo de sol y playa;Gasto total;Dato base;2025;49.407,92
Turismo de sol y playa;Gasto total;Dato base;2024;47.277,65
Turismo de sol y playa;Gasto total;Dato base;2023;36.929,09
Turismo de sol y playa;Gasto total;Dato base;2022;34.467,32
Turismo de sol y playa;Gasto total;Dato base;2021;15.164,34
Turismo de sol y playa;Gasto total;Dato base;2020;7.438,14
Turismo de sol y playa;Gasto total;Dato base;2019;36.133,65
Turismo de sol y playa;Gasto total;Dato base;2018;38.935,71
Turismo de sol y playa;Gasto total;Dato base;2017;41.139,57
Turismo de sol y playa;Gasto total;Dato base;2016;39.959,69
Turismo de sol y playa;Gasto total;Tasa de variación anual;2025;4,51
Turismo de sol y playa;Gasto total;Tasa de variación anual;2024;28,02
Turismo de sol y playa;Gasto total;Tasa de variación anual;2023;7,14
Turismo de sol y playa;Gasto total;Tasa de variación anual;2022;127,29
Turismo de sol y playa;Gasto total;Tasa de variación anual;2021;103,87
Turismo de sol y playa;Gasto total;Tasa de variación anual;2020;-79,41
Turismo de sol y playa;Gasto total;Tasa de variación anual;2019;-7,20
Turismo de sol y playa;Gasto total;Tasa de variación anual;2018;-5,36
Turismo de sol y playa;Gasto total;Tasa de variación anual;2017;2,95
Turismo de sol y playa;Gasto total;Tasa de variación anual;2016;5,60
Turismo de sol y playa;Gasto medio por persona;Dato base;2025;1.408
Turismo de sol y playa;Gasto medio por persona;Dato base;2024;1.364
Turismo de sol y playa;Gasto medio por persona;Dato base;2023;1.270
Turismo de sol y playa;Gasto medio por persona;Dato base;2022;1.219
Turismo de sol y playa;Gasto medio por persona;Dato base;2021;1.144
Turismo de sol y playa;Gasto medio por persona;Dato base;2020;1.060
Turismo de sol y playa;Gasto medio por persona;Dato base;2019;1.118
Turismo de sol y playa;Gasto medio por persona;Dato base;2018;1.086
Turismo de sol y playa;Gasto medio por persona;Dato base;2017;1.051
Turismo de sol y playa;Gasto medio por persona;Dato base;2016;1.015
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2025;3,22
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2024;7,45
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2023;4,14
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2022;6,59
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2021;7,89
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2020;-5,18
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2019;2,95
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2018;3,34
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2017;3,50
Turismo de sol y playa;Gasto medio por persona;Tasa de variación anual;2016;-0,66
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2025;186
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2024;175
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2023;166
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2022;152
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2021;134
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2020;125
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2019;138
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2018;130
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2017;123
Turismo de sol y playa;Gasto medio diario por persona;Dato base;2016;119
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2025;5,95
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2024;5,59
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2023;9,56
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2022;12,98
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2021;6,96
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2020;-8,98
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2019;5,92
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2018;5,59
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2017;3,27
Turismo de sol y playa;Gasto medio diario por persona;Tasa de variación anual;2016;4,26
Turismo de sol y playa;Duración media de los viajes;Dato base;2025;7,58
Turismo de sol y playa;Duración media de los viajes;Dato base;2024;7,78
Turismo de sol y playa;Duración media de los viajes;Dato base;2023;7,65
Turismo de sol y playa;Duración media de los viajes;Dato base;2022;8,05
Turismo de sol y playa;Duración media de los viajes;Dato base;2021;8,53
Turismo de sol y playa;Duración media de los viajes;Dato base;2020;8,46
Turismo de sol y playa;Duración media de los viajes;Dato base;2019;8,12
Turismo de sol y playa;Duración media de los viajes;Dato base;2018;8,35
Turismo de sol y playa;Duración media de los viajes;Dato base;2017;8,53
Turismo de sol y playa;Duración media de los viajes;Dato base;2016;8,51
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2025;-2,58
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2024;1,76
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2023;-4,94
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2022;-5,66
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2021;0,87
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2020;4,18
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2019;-2,80
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2018;-2,13
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2017;0,22
Turismo de sol y playa;Duración media de los viajes;Tasa de variación anual;2016;-4,72
Otro tipo de ocio;Gasto total;Dato base;2025;31.685,03
Otro tipo de ocio;Gasto total;Dato base;2024;32.539,01
Otro tipo de ocio;Gasto total;Dato base;2023;33.029,45
Otro tipo de ocio;Gasto total;Dato base;2022;24.321,03
Otro tipo de ocio;Gasto total;Dato base;2021;8.587,96
Otro tipo de ocio;Gasto total;Dato base;2020;5.227,99
Otro tipo de ocio;Gasto total;Dato base;2019;27.426,94
Otro tipo de ocio;Gasto total;Dato base;2018;24.409,15
Otro tipo de ocio;Gasto total;Dato base;2017;18.551,31
Otro tipo de ocio;Gasto total;Dato base;2016;15.445,16
Otro tipo de ocio;Gasto total;Tasa de variación anual;2025;-2,62
Otro tipo de ocio;Gasto total;Tasa de variación anual;2024;-1,48
Otro tipo de ocio;Gasto total;Tasa de variación anual;2023;35,81
Otro tipo de ocio;Gasto total;Tasa de variación anual;2022;183,20
Otro tipo de ocio;Gasto total;Tasa de variación anual;2021;64,27
Otro tipo de ocio;Gasto total;Tasa de variación anual;2020;-80,94
Otro tipo de ocio;Gasto total;Tasa de variación anual;2019;12,36
Otro tipo de ocio;Gasto total;Tasa de variación anual;2018;31,58
Otro tipo de ocio;Gasto total;Tasa de variación anual;2017;20,11
Otro tipo de ocio;Gasto total;Tasa de variación anual;2016;20,61
Otro tipo de ocio;Gasto medio por persona;Dato base;2025;1.308
Otro tipo de ocio;Gasto medio por persona;Dato base;2024;1.263
Otro tipo de ocio;Gasto medio por persona;Dato base;2023;1.238
Otro tipo de ocio;Gasto medio por persona;Dato base;2022;1.166
Otro tipo de ocio;Gasto medio por persona;Dato base;2021;1.070
Otro tipo de ocio;Gasto medio por persona;Dato base;2020;1.084
Otro tipo de ocio;Gasto medio por persona;Dato base;2019;1.110
Otro tipo de ocio;Gasto medio por persona;Dato base;2018;1.095
Otro tipo de ocio;Gasto medio por persona;Dato base;2017;1.040
Otro tipo de ocio;Gasto medio por persona;Dato base;2016;995
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2025;3,58
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2024;1,95
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2023;6,18
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2022;9,01
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2021;-1,27
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2020;-2,36
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2019;1,32
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2018;5,27
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2017;4,55
Otro tipo de ocio;Gasto medio por persona;Tasa de variación anual;2016;1,92
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2025;196
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2024;198
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2023;192
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2022;172
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2021;139
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2020;148
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2019;176
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2018;169
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2017;163
Otro tipo de ocio;Gasto medio diario por persona;Dato base;2016;150
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2025;-0,86
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2024;2,98
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2023;12,07
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2022;23,27
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2021;-5,83
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2020;-16,05
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2019;4,08
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2018;3,72
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2017;8,52
Otro tipo de ocio;Gasto medio diario por persona;Tasa de variación anual;2016;9,29
Otro tipo de ocio;Duración media de los viajes;Dato base;2025;6,66
Otro tipo de ocio;Duración media de los viajes;Dato base;2024;6,37
Otro tipo de ocio;Duración media de los viajes;Dato base;2023;6,44
Otro tipo de ocio;Duración media de los viajes;Dato base;2022;6,79
Otro tipo de ocio;Duración media de los viajes;Dato base;2021;7,68
Otro tipo de ocio;Duración media de los viajes;Dato base;2020;7,33
Otro tipo de ocio;Duración media de los viajes;Dato base;2019;6,30
Otro tipo de ocio;Duración media de los viajes;Dato base;2018;6,47
Otro tipo de ocio;Duración media de los viajes;Dato base;2017;6,37
Otro tipo de ocio;Duración media de los viajes;Dato base;2016;6,62
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2025;4,49
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2024;-1,00
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2023;-5,26
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2022;-11,57
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2021;4,85
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2020;16,31
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2019;-2,65
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2018;1,50
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2017;-3,66
Otro tipo de ocio;Duración media de los viajes;Tasa de variación anual;2016;-6,74
Otros;Gasto total;Dato base;2025;1.477,89
Otros;Gasto total;Dato base;2024;1.121,44
Otros;Gasto total;Dato base;2023;1.193,20
Otros;Gasto total;Dato base;2022;735,83
Otros;Gasto total;Dato base;2021;372,06
Otros;Gasto total;Dato base;2020;201,44
Otros;Gasto total;Dato base;2019;471,24
Otros;Gasto total;Dato base;2018;1.052,21
