table_id,table_name,dimension,dimension_value,indicador,tipo_dato,periodo,periodo_parsed,valor
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M11,2021-11,3761.5
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M10,2021-10,5606.29
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M09,2021-09,5051.2
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M08,2021-08,5907.3
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M07,2021-07,5229.47
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M06,2021-06,2421.69
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M05,2021-05,1395.78
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M04,2021-04,668.42
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M03,2021-03,543.89
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M02,2021-02,323.82
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2021M01,2021-01,457.43
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M12,2020-12,696.81
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M11,2020-11,481.98
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M10,2020-10,864.49
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M09,2020-09,964.49
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M08,2020-08,2456.85
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M07,2020-07,2457.94
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M06,2020-06,133.89
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M05,2020-05,0.0
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M04,2020-04,0.0
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M03,2020-03,2173.73
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M02,2020-02,4789.29
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2020M01,2020-01,4767.31
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M12,2019-12,5010.84
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M11,2019-11,5062.63
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M10,2019-10,8322.55
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M09,2019-09,9617.21
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M08,2019-08,11704.76
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M07,2019-07,11941.51
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M06,2019-06,9686.12
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M05,2019-05,8137.84
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M04,2019-04,7056.36
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M03,2019-03,6034.87
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M02,2019-02,4658.61
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2019M01,2019-01,4678.67
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M12,2018-12,5009.52
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M11,2018-11,4888.55
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M10,2018-10,8164.58
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M09,2018-09,9545.81
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M08,2018-08,11459.69
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M07,2018-07,11748.1
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M06,2018-06,9370.81
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M05,2018-05,8155.06
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M04,2018-04,6621.53
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M03,2018-03,5726.73
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M02,2018-02,4535.94
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2018M01,2018-01,4524.43
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M12,2017-12,4530.66
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M11,2017-11,4642.35
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M10,2017-10,7789.23
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M09,2017-09,9476.29
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M08,2017-08,11340.29
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M07,2017-07,11850.99
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M06,2017-06,8987.77
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M05,2017-05,7927.07
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M04,2017-04,6782.08
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M03,2017-03,5109.49
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M02,2017-02,4304.73
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2017M01,2017-01,4262.99
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M12,2016-12,4525.45
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M11,2016-11,4205.06
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M10,2016-10,7333.85
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M09,2016-09,8399.31
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M08,2016-08,10281.98
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M07,2016-07,10238.54
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M06,2016-06,7817.41
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M05,2016-05,6917.93
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M04,2016-04,5627.99
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M03,2016-03,4624.47
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M02,2016-02,3706.27
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2016M01,2016-01,3737.26
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2015M12,2015-12,3773.27
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2015M11,2015-11,3872.84
10838,Gasto por país de residencia,País de residencia,Total,Gasto total,Dato base,2015M10,2015-10,6280.63
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M07,2026-07,3038.17
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M06,2026-06,2802.7
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M05,2026-05,2502.58
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M04,2026-04,1857.16
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M03,2026-03,1434.62
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M02,2026-02,1164.93
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2026M01,2026-01,1085.08
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M12,2025-12,1077.02
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M11,2025-11,1301.9
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M10,2025-10,2203.0
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M09,2025-09,2557.33
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M08,2025-08,3129.65
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M07,2025-07,2899.71
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M06,2025-06,2616.92
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M05,2025-05,2357.02
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M04,2025-04,1773.77
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M03,2025-03,1435.16
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M02,2025-02,1210.4
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2025M01,2025-01,1104.28
10838,Gasto por país de residencia,País de residencia,Reino Unido,Gasto total,Dato base,2024M12,2024-12,1096.36
